Ngành,Mức điểm đầu vào,Trường đại học,Điểm chuẩn,Tổ hợp,Năm,Ghi chú,Mã trường
khoa học máy tính,Cao,KSA - Đại Học Kinh Tế TPHCM,25.0,A01,2020,,KSA
khoa học máy tính,Cao,KSA - Đại Học Kinh Tế TPHCM,25.0,D01,2020,,KSA
kỹ thuật phần mềm,Cao,KSA - Đại Học Kinh Tế TPHCM,25.43,A00,2020,,KSA
kỹ thuật phần mềm,Cao,KSA - Đại Học Kinh Tế TPHCM,25.43,A01,2020,,KSA
kỹ thuật phần mềm,Cao,KSA - Đại Học Kinh Tế TPHCM,25.43,D01,2020,,KSA
công nghệ thông tin,Cao,KSA - Đại Học Kinh Tế TPHCM,25.4,A00,2020,,KSA
công nghệ thông tin,Cao,KSA - Đại Học Kinh Tế TPHCM,25.4,A01,2020,,KSA
công nghệ thông tin,Cao,KSA - Đại Học Kinh Tế TPHCM,25.4,D01,2020,,KSA
an toàn thông tin,Cao,KSA - Đại Học Kinh Tế TPHCM,24.8,A00,2020,,KSA
an toàn thông tin,Cao,KSA - Đại Học Kinh Tế TPHCM,24.8,A01,2020,,KSA
an toàn thông tin,Cao,KSA - Đại Học Kinh Tế TPHCM,24.8,D01,2020,,KSA
logistics và quản lý chuỗi cung ứng,Cao,KSA - Đại Học Kinh Tế TPHCM,27.1,A00,2020,,KSA
logistics và quản lý chuỗi cung ứng,Cao,KSA - Đại Học Kinh Tế TPHCM,27.1,A01,2020,,KSA
logistics và quản lý chuỗi cung ứng,Cao,KSA - Đại Học Kinh Tế TPHCM,27.1,D01,2020,,KSA
quản trị dịch vụ du lịch và lữ hành,Cao,KSA - Đại Học Kinh Tế TPHCM,25.2,A00,2020,,KSA
quản trị dịch vụ du lịch và lữ hành,Cao,KSA - Đại Học Kinh Tế TPHCM,25.2,A01,2020,,KSA
quản trị dịch vụ du lịch và lữ hành,Cao,KSA - Đại Học Kinh Tế TPHCM,25.2,D01,2020,,KSA
quản trị khách sạn,Cao,KSA - Đại Học Kinh Tế TPHCM,25.5,A00,2020,,KSA
quản trị khách sạn,Cao,KSA - Đại Học Kinh Tế TPHCM,25.5,A01,2020,,KSA
quản trị khách sạn,Cao,KSA - Đại Học Kinh Tế TPHCM,25.5,D01,2020,,KSA
công nghệ thông tin,Cao,KTA - Trường Đại Học Kiến Trúc Hà Nội,23.8,A00,2023,,KTA
công nghệ thông tin,Cao,KTA - Trường Đại Học Kiến Trúc Hà Nội,23.8,A01,2023,,KTA
công nghệ thông tin,Cao,KTA - Trường Đại Học Kiến Trúc Hà Nội,23.8,D01,2023,,KTA
công nghệ thông tin,Cao,KTA - Trường Đại Học Kiến Trúc Hà Nội,23.8,A00,2022,,KTA
công nghệ thông tin,Cao,KTA - Trường Đại Học Kiến Trúc Hà Nội,23.8,A01,2022,,KTA
công nghệ thông tin,Cao,KTA - Trường Đại Học Kiến Trúc Hà Nội,23.8,D01,2022,,KTA
công nghệ thông tin,Cao,KTA - Trường Đại Học Kiến Trúc Hà Nội,23.8,A00,2021,,KTA
công nghệ thông tin,Cao,KTA - Trường Đại Học Kiến Trúc Hà Nội,23.8,A01,2021,,KTA
công nghệ thông tin,Cao,KTA - Trường Đại Học Kiến Trúc Hà Nội,23.8,D01,2021,,KTA
công nghệ thông tin,Cao,KTA - Trường Đại Học Kiến Trúc Hà Nội,23.8,A00,2020,,KTA
công nghệ thông tin,Cao,KTA - Trường Đại Học Kiến Trúc Hà Nội,23.8,A01,2020,,KTA
công nghệ thông tin,Cao,KTA - Trường Đại Học Kiến Trúc Hà Nội,23.8,D01,2020,,KTA
ngôn ngữ anh,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.75,A01,2023,,NLS
ngôn ngữ anh,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.75,D01,2023,,NLS
quản trị kinh doanh,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.75,A00,2023,,NLS
quản trị kinh doanh,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.75,A01,2023,,NLS
quản trị kinh doanh,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.75,D01,2023,,NLS
kế toán,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.0,A00,2023,,NLS
kế toán,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.0,A01,2023,,NLS
kế toán,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.0,D01,2023,,NLS
công nghệ sinh học,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.25,A00,2023,,NLS
công nghệ sinh học,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.25,B00,2023,,NLS
công nghệ thông tin,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.25,A00,2023,,NLS
công nghệ thông tin,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.25,A01,2023,,NLS
công nghệ kỹ thuật ô tô,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.75,A00,2023,,NLS
công nghệ kỹ thuật ô tô,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.75,A01,2023,,NLS
kỹ thuật môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,16.0,A00,2023,,NLS
kỹ thuật môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,16.0,A01,2023,,NLS
kỹ thuật môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,16.0,B00,2023,,NLS
công nghệ thực phẩm,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.5,A00,2023,,NLS
công nghệ thực phẩm,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.5,A01,2023,,NLS
công nghệ thực phẩm,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.5,B00,2023,,NLS
thú y,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,24.5,A00,2023,,NLS
thú y,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,24.5,B00,2023,,NLS
quản lý tài nguyên và môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,20.0,A00,2023,,NLS
quản lý tài nguyên và môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,20.0,A01,2023,,NLS
quản lý tài nguyên và môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,20.0,B00,2023,,NLS
quản lý đất đai,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,21.25,A00,2023,,NLS
quản lý đất đai,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,21.25,A01,2023,,NLS
quản lý đất đai,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,21.25,D01,2023,,NLS
ngôn ngữ anh,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.75,A01,2022,,NLS
ngôn ngữ anh,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.75,D01,2022,,NLS
quản trị kinh doanh,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.75,A00,2022,,NLS
quản trị kinh doanh,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.75,A01,2022,,NLS
quản trị kinh doanh,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.75,D01,2022,,NLS
kế toán,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.0,A00,2022,,NLS
kế toán,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.0,A01,2022,,NLS
kế toán,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.0,D01,2022,,NLS
công nghệ sinh học,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.25,A00,2022,,NLS
công nghệ sinh học,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.25,B00,2022,,NLS
công nghệ thông tin,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.25,A00,2022,,NLS
công nghệ thông tin,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.25,A01,2022,,NLS
công nghệ kỹ thuật ô tô,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.75,A00,2022,,NLS
công nghệ kỹ thuật ô tô,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.75,A01,2022,,NLS
kỹ thuật môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,16.0,A00,2022,,NLS
kỹ thuật môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,16.0,A01,2022,,NLS
kỹ thuật môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,16.0,B00,2022,,NLS
công nghệ thực phẩm,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.5,A00,2022,,NLS
công nghệ thực phẩm,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.5,A01,2022,,NLS
công nghệ thực phẩm,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.5,B00,2022,,NLS
thú y,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,24.5,A00,2022,,NLS
thú y,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,24.5,B00,2022,,NLS
quản lý tài nguyên và môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,20.0,A00,2022,,NLS
quản lý tài nguyên và môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,20.0,A01,2022,,NLS
quản lý tài nguyên và môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,20.0,B00,2022,,NLS
quản lý đất đai,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,21.25,A00,2022,,NLS
quản lý đất đai,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,21.25,A01,2022,,NLS
quản lý đất đai,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,21.25,D01,2022,,NLS
ngôn ngữ anh,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.75,A01,2021,,NLS
ngôn ngữ anh,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.75,D01,2021,,NLS
quản trị kinh doanh,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.75,A00,2021,,NLS
quản trị kinh doanh,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.75,A01,2021,,NLS
quản trị kinh doanh,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.75,D01,2021,,NLS
kế toán,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.0,A00,2021,,NLS
kế toán,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.0,A01,2021,,NLS
kế toán,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.0,D01,2021,,NLS
công nghệ sinh học,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.25,A00,2021,,NLS
công nghệ sinh học,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.25,B00,2021,,NLS
công nghệ thông tin,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.25,A00,2021,,NLS
công nghệ thông tin,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.25,A01,2021,,NLS
công nghệ kỹ thuật ô tô,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.75,A00,2021,,NLS
công nghệ kỹ thuật ô tô,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.75,A01,2021,,NLS
kỹ thuật môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,16.0,A00,2021,,NLS
kỹ thuật môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,16.0,A01,2021,,NLS
kỹ thuật môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,16.0,B00,2021,,NLS
công nghệ thực phẩm,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.5,A00,2021,,NLS
công nghệ thực phẩm,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.5,A01,2021,,NLS
công nghệ thực phẩm,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.5,B00,2021,,NLS
thú y,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,24.5,A00,2021,,NLS
thú y,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,24.5,B00,2021,,NLS
quản lý tài nguyên và môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,20.0,A00,2021,,NLS
quản lý tài nguyên và môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,20.0,A01,2021,,NLS
quản lý tài nguyên và môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,20.0,B00,2021,,NLS
quản lý đất đai,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,21.25,A00,2021,,NLS
quản lý đất đai,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,21.25,A01,2021,,NLS
quản lý đất đai,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,21.25,D01,2021,,NLS
ngôn ngữ anh,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.75,A01,2020,,NLS
ngôn ngữ anh,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.75,D01,2020,,NLS
quản trị kinh doanh,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.75,A00,2020,,NLS
quản trị kinh doanh,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.75,A01,2020,,NLS
quản trị kinh doanh,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.75,D01,2020,,NLS
kế toán,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.0,A00,2020,,NLS
kế toán,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.0,A01,2020,,NLS
kế toán,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.0,D01,2020,,NLS
công nghệ sinh học,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.25,A00,2020,,NLS
công nghệ sinh học,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.25,B00,2020,,NLS
công nghệ thông tin,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.25,A00,2020,,NLS
công nghệ thông tin,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.25,A01,2020,,NLS
công nghệ kỹ thuật ô tô,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.75,A00,2020,,NLS
công nghệ kỹ thuật ô tô,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,23.75,A01,2020,,NLS
kỹ thuật môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,16.0,A00,2020,,NLS
kỹ thuật môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,16.0,A01,2020,,NLS
kỹ thuật môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,16.0,B00,2020,,NLS
công nghệ thực phẩm,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.5,A00,2020,,NLS
công nghệ thực phẩm,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.5,A01,2020,,NLS
công nghệ thực phẩm,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,22.5,B00,2020,,NLS
thú y,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,24.5,A00,2020,,NLS
thú y,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,24.5,B00,2020,,NLS
quản lý tài nguyên và môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,20.0,A00,2020,,NLS
quản lý tài nguyên và môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,20.0,A01,2020,,NLS
quản lý tài nguyên và môi trường,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,20.0,B00,2020,,NLS
quản lý đất đai,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,21.25,A00,2020,,NLS
quản lý đất đai,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,21.25,A01,2020,,NLS
quản lý đất đai,Cao,NLS - Trường Đại Học Nông Lâm TPHCM,21.25,D01,2020,,NLS
ngôn ngữ anh,Thấp,MBS - Trường Đại Học Mở TPHCM,24.2,A01,2023,,MBS
ngôn ngữ anh,Thấp,MBS - Trường Đại Học Mở TPHCM,24.2,D01,2023,,MBS
ngôn ngữ trung quốc,Thấp,MBS - Trường Đại Học Mở TPHCM,24.0,D01,2023,,MBS
ngôn ngữ nhật,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,D01,2023,,MBS
ngôn ngữ hàn quốc,Thấp,MBS - Trường Đại Học Mở TPHCM,22.25,D01,2023,,MBS
xã hội học,Thấp,MBS - Trường Đại Học Mở TPHCM,18.0,A01,2023,,MBS
xã hội học,Thấp,MBS - Trường Đại Học Mở TPHCM,18.0,C00,2023,,MBS
xã hội học,Thấp,MBS - Trường Đại Học Mở TPHCM,18.0,D01,2023,,MBS
tâm lý học,Thấp,MBS - Trường Đại Học Mở TPHCM,23.8,A01,2023,,MBS
tâm lý học,Thấp,MBS - Trường Đại Học Mở TPHCM,23.8,C00,2023,,MBS
tâm lý học,Thấp,MBS - Trường Đại Học Mở TPHCM,23.8,D01,2023,,MBS
quản trị kinh doanh,Thấp,MBS - Trường Đại Học Mở TPHCM,20.75,A00,2023,,MBS
quản trị kinh doanh,Thấp,MBS - Trường Đại Học Mở TPHCM,20.75,A01,2023,,MBS
quản trị kinh doanh,Thấp,MBS - Trường Đại Học Mở TPHCM,20.75,D01,2023,,MBS
marketing,Thấp,MBS - Trường Đại Học Mở TPHCM,24.5,A00,2023,,MBS
marketing,Thấp,MBS - Trường Đại Học Mở TPHCM,24.5,A01,2023,,MBS
marketing,Thấp,MBS - Trường Đại Học Mở TPHCM,24.5,D01,2023,,MBS
kinh doanh quốc tế,Thấp,MBS - Trường Đại Học Mở TPHCM,23.75,A00,2023,,MBS
kinh doanh quốc tế,Thấp,MBS - Trường Đại Học Mở TPHCM,23.75,A01,2023,,MBS
kinh doanh quốc tế,Thấp,MBS - Trường Đại Học Mở TPHCM,23.75,D01,2023,,MBS
tài chính - ngân hàng,Thấp,MBS - Trường Đại Học Mở TPHCM,23.2,A00,2023,,MBS
tài chính - ngân hàng,Thấp,MBS - Trường Đại Học Mở TPHCM,23.2,A01,2023,,MBS
tài chính - ngân hàng,Thấp,MBS - Trường Đại Học Mở TPHCM,23.2,D01,2023,,MBS
bảo hiểm,Thấp,MBS - Trường Đại Học Mở TPHCM,16.0,A00,2023,,MBS
bảo hiểm,Thấp,MBS - Trường Đại Học Mở TPHCM,16.0,A01,2023,,MBS
bảo hiểm,Thấp,MBS - Trường Đại Học Mở TPHCM,16.0,D01,2023,,MBS
kế toán,Thấp,MBS - Trường Đại Học Mở TPHCM,21.0,A00,2023,,MBS
kế toán,Thấp,MBS - Trường Đại Học Mở TPHCM,21.0,A01,2023,,MBS
kế toán,Thấp,MBS - Trường Đại Học Mở TPHCM,21.0,D01,2023,,MBS
kiểm toán,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,A00,2023,,MBS
kiểm toán,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,A01,2023,,MBS
kiểm toán,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,D01,2023,,MBS
quản trị nhân lực,Thấp,MBS - Trường Đại Học Mở TPHCM,24.0,A00,2023,,MBS
quản trị nhân lực,Thấp,MBS - Trường Đại Học Mở TPHCM,24.0,D01,2023,,MBS
quản trị nhân lực,Thấp,MBS - Trường Đại Học Mở TPHCM,24.0,A01,2023,,MBS
luật,Thấp,MBS - Trường Đại Học Mở TPHCM,24.75,A00,2023,,MBS
luật,Thấp,MBS - Trường Đại Học Mở TPHCM,24.75,A01,2023,,MBS
luật,Thấp,MBS - Trường Đại Học Mở TPHCM,24.75,C00,2023,,MBS
luật,Thấp,MBS - Trường Đại Học Mở TPHCM,24.75,D01,2023,,MBS
luật kinh tế,Thấp,MBS - Trường Đại Học Mở TPHCM,24.75,A00,2023,,MBS
luật kinh tế,Thấp,MBS - Trường Đại Học Mở TPHCM,24.75,A01,2023,,MBS
luật kinh tế,Thấp,MBS - Trường Đại Học Mở TPHCM,24.75,C00,2023,,MBS
luật kinh tế,Thấp,MBS - Trường Đại Học Mở TPHCM,24.75,D01,2023,,MBS
công nghệ sinh học,Thấp,MBS - Trường Đại Học Mở TPHCM,16.0,A00,2023,,MBS
công nghệ sinh học,Thấp,MBS - Trường Đại Học Mở TPHCM,16.0,B00,2023,,MBS
khoa học dữ liệu,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,A00,2023,,MBS
khoa học dữ liệu,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,A01,2023,,MBS
khoa học dữ liệu,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,D01,2023,,MBS
khoa học máy tính,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,A00,2023,,MBS
khoa học máy tính,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,A01,2023,,MBS
khoa học máy tính,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,D01,2023,,MBS
trí tuệ nhân tạo,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,A00,2023,,MBS
trí tuệ nhân tạo,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,A01,2023,,MBS
trí tuệ nhân tạo,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,D01,2023,,MBS
công nghệ thông tin,Thấp,MBS - Trường Đại Học Mở TPHCM,21.0,A00,2023,,MBS
công nghệ thông tin,Thấp,MBS - Trường Đại Học Mở TPHCM,21.0,A01,2023,,MBS
công nghệ thông tin,Thấp,MBS - Trường Đại Học Mở TPHCM,21.0,D01,2023,,MBS
logistics và quản lý chuỗi cung ứng,Thấp,MBS - Trường Đại Học Mở TPHCM,23.5,A00,2023,,MBS
logistics và quản lý chuỗi cung ứng,Thấp,MBS - Trường Đại Học Mở TPHCM,23.5,A01,2023,,MBS
logistics và quản lý chuỗi cung ứng,Thấp,MBS - Trường Đại Học Mở TPHCM,23.5,D01,2023,,MBS
công nghệ thực phẩm,Thấp,MBS - Trường Đại Học Mở TPHCM,18.0,A00,2023,,MBS
công nghệ thực phẩm,Thấp,MBS - Trường Đại Học Mở TPHCM,18.0,A01,2023,,MBS
công nghệ thực phẩm,Thấp,MBS - Trường Đại Học Mở TPHCM,18.0,B00,2023,,MBS
ngôn ngữ anh,Thấp,MBS - Trường Đại Học Mở TPHCM,24.2,A01,2022,,MBS
ngôn ngữ anh,Thấp,MBS - Trường Đại Học Mở TPHCM,24.2,D01,2022,,MBS
ngôn ngữ trung quốc,Thấp,MBS - Trường Đại Học Mở TPHCM,24.0,D01,2022,,MBS
ngôn ngữ nhật,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,D01,2022,,MBS
ngôn ngữ hàn quốc,Thấp,MBS - Trường Đại Học Mở TPHCM,22.25,D01,2022,,MBS
xã hội học,Thấp,MBS - Trường Đại Học Mở TPHCM,18.0,A01,2022,,MBS
xã hội học,Thấp,MBS - Trường Đại Học Mở TPHCM,18.0,C00,2022,,MBS
xã hội học,Thấp,MBS - Trường Đại Học Mở TPHCM,18.0,D01,2022,,MBS
tâm lý học,Thấp,MBS - Trường Đại Học Mở TPHCM,23.8,A01,2022,,MBS
tâm lý học,Thấp,MBS - Trường Đại Học Mở TPHCM,23.8,C00,2022,,MBS
tâm lý học,Thấp,MBS - Trường Đại Học Mở TPHCM,23.8,D01,2022,,MBS
quản trị kinh doanh,Thấp,MBS - Trường Đại Học Mở TPHCM,20.75,A00,2022,,MBS
quản trị kinh doanh,Thấp,MBS - Trường Đại Học Mở TPHCM,20.75,A01,2022,,MBS
quản trị kinh doanh,Thấp,MBS - Trường Đại Học Mở TPHCM,20.75,D01,2022,,MBS
marketing,Thấp,MBS - Trường Đại Học Mở TPHCM,24.5,A00,2022,,MBS
marketing,Thấp,MBS - Trường Đại Học Mở TPHCM,24.5,A01,2022,,MBS
marketing,Thấp,MBS - Trường Đại Học Mở TPHCM,24.5,D01,2022,,MBS
kinh doanh quốc tế,Thấp,MBS - Trường Đại Học Mở TPHCM,23.75,A00,2022,,MBS
kinh doanh quốc tế,Thấp,MBS - Trường Đại Học Mở TPHCM,23.75,A01,2022,,MBS
kinh doanh quốc tế,Thấp,MBS - Trường Đại Học Mở TPHCM,23.75,D01,2022,,MBS
tài chính - ngân hàng,Thấp,MBS - Trường Đại Học Mở TPHCM,23.2,A00,2022,,MBS
tài chính - ngân hàng,Thấp,MBS - Trường Đại Học Mở TPHCM,23.2,A01,2022,,MBS
tài chính - ngân hàng,Thấp,MBS - Trường Đại Học Mở TPHCM,23.2,D01,2022,,MBS
bảo hiểm,Thấp,MBS - Trường Đại Học Mở TPHCM,16.0,A00,2022,,MBS
bảo hiểm,Thấp,MBS - Trường Đại Học Mở TPHCM,16.0,A01,2022,,MBS
bảo hiểm,Thấp,MBS - Trường Đại Học Mở TPHCM,16.0,D01,2022,,MBS
kế toán,Thấp,MBS - Trường Đại Học Mở TPHCM,21.0,A00,2022,,MBS
kế toán,Thấp,MBS - Trường Đại Học Mở TPHCM,21.0,A01,2022,,MBS
kế toán,Thấp,MBS - Trường Đại Học Mở TPHCM,21.0,D01,2022,,MBS
kiểm toán,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,A00,2022,,MBS
kiểm toán,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,A01,2022,,MBS
kiểm toán,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,D01,2022,,MBS
quản trị nhân lực,Thấp,MBS - Trường Đại Học Mở TPHCM,24.0,A00,2022,,MBS
quản trị nhân lực,Thấp,MBS - Trường Đại Học Mở TPHCM,24.0,D01,2022,,MBS
quản trị nhân lực,Thấp,MBS - Trường Đại Học Mở TPHCM,24.0,A01,2022,,MBS
luật,Thấp,MBS - Trường Đại Học Mở TPHCM,24.75,A00,2022,,MBS
luật,Thấp,MBS - Trường Đại Học Mở TPHCM,24.75,A01,2022,,MBS
luật,Thấp,MBS - Trường Đại Học Mở TPHCM,24.75,C00,2022,,MBS
luật,Thấp,MBS - Trường Đại Học Mở TPHCM,24.75,D01,2022,,MBS
luật kinh tế,Thấp,MBS - Trường Đại Học Mở TPHCM,24.75,A00,2022,,MBS
luật kinh tế,Thấp,MBS - Trường Đại Học Mở TPHCM,24.75,A01,2022,,MBS
luật kinh tế,Thấp,MBS - Trường Đại Học Mở TPHCM,24.75,C00,2022,,MBS
luật kinh tế,Thấp,MBS - Trường Đại Học Mở TPHCM,24.75,D01,2022,,MBS
công nghệ sinh học,Thấp,MBS - Trường Đại Học Mở TPHCM,16.0,A00,2022,,MBS
công nghệ sinh học,Thấp,MBS - Trường Đại Học Mở TPHCM,16.0,B00,2022,,MBS
khoa học dữ liệu,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,A00,2022,,MBS
khoa học dữ liệu,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,A01,2022,,MBS
khoa học dữ liệu,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,D01,2022,,MBS
khoa học máy tính,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,A00,2022,,MBS
khoa học máy tính,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,A01,2022,,MBS
khoa học máy tính,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,D01,2022,,MBS
trí tuệ nhân tạo,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,A00,2022,,MBS
trí tuệ nhân tạo,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,A01,2022,,MBS
trí tuệ nhân tạo,Thấp,MBS - Trường Đại Học Mở TPHCM,20.0,D01,2022,,MBS
công nghệ thông tin,Thấp,MBS - Trường Đại Học Mở TPHCM,21.0,A00,2022,,MBS
công nghệ thông tin,Thấp,MBS - Trường Đại Học Mở TPHCM,21.0,A01,2022,,MBS
công nghệ thông tin,Thấp,MBS - Trường Đại Học Mở TPHCM,21.0,D01,2022,,MBS
