Ngành,Trường,Mã trường,Năm,Chỉ tiêu THPT (Ước tính),market_trend
an toàn thông tin,Đại học Bách Khoa TP.HCM,BKA,2025,94-115,0.87
an toàn thông tin,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2020,108-133,0.83
an toàn thông tin,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2021,108-133,0.84
an toàn thông tin,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2022,126-154,0.85
an toàn thông tin,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2023,116-141,0.85
an toàn thông tin,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2024,125-152,0.86
an toàn thông tin,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2025,117-144,0.87
an toàn thông tin,Đại học Hutech,HTU,2020,157-192,0.83
an toàn thông tin,Đại học Hutech,HTU,2021,152-185,0.84
an toàn thông tin,Đại học Hutech,HTU,2022,138-169,0.85
an toàn thông tin,Đại học Hutech,HTU,2023,142-173,0.85
an toàn thông tin,Đại học Hutech,HTU,2024,171-209,0.86
an toàn thông tin,Đại học Hutech,HTU,2025,148-181,0.87
an toàn thông tin,Đại học Nguyễn Tất Thành,NTT,2020,164-201,0.83
an toàn thông tin,Đại học Nguyễn Tất Thành,NTT,2021,167-204,0.84
an toàn thông tin,Đại học Nguyễn Tất Thành,NTT,2022,160-195,0.85
an toàn thông tin,Đại học Nguyễn Tất Thành,NTT,2023,173-212,0.85
an toàn thông tin,Đại học Nguyễn Tất Thành,NTT,2024,188-229,0.86
an toàn thông tin,Đại học Nguyễn Tất Thành,NTT,2025,189-232,0.87
công nghệ thông tin,Đại học Bách Khoa TP.HCM,BKA,2020,72-89,0.85
công nghệ thông tin,Đại học Bách Khoa TP.HCM,BKA,2021,82-101,0.86
công nghệ thông tin,Đại học Bách Khoa TP.HCM,BKA,2022,75-92,0.87
công nghệ thông tin,Đại học Bách Khoa TP.HCM,BKA,2023,84-103,0.88
công nghệ thông tin,Đại học Bách Khoa TP.HCM,BKA,2024,73-90,0.88
công nghệ thông tin,Đại học Bách Khoa TP.HCM,BKA,2025,77-94,0.89
công nghệ thông tin,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2020,81-100,0.85
công nghệ thông tin,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2021,88-107,0.86
công nghệ thông tin,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2022,95-116,0.87
công nghệ thông tin,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2023,96-117,0.88
công nghệ thông tin,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2024,100-123,0.88
công nghệ thông tin,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2025,91-112,0.89
công nghệ thông tin,Đại học Hutech,HTU,2020,135-165,0.85
công nghệ thông tin,Đại học Hutech,HTU,2021,153-187,0.86
công nghệ thông tin,Đại học Hutech,HTU,2022,142-173,0.87
công nghệ thông tin,Đại học Hutech,HTU,2023,154-189,0.88
công nghệ thông tin,Đại học Hutech,HTU,2024,153-187,0.88
công nghệ thông tin,Đại học Hutech,HTU,2025,163-200,0.89
công nghệ thông tin,Đại học Nguyễn Tất Thành,NTT,2020,160-195,0.85
công nghệ thông tin,Đại học Nguyễn Tất Thành,NTT,2021,163-200,0.86
công nghệ thông tin,Đại học Nguyễn Tất Thành,NTT,2022,153-188,0.87
công nghệ thông tin,Đại học Nguyễn Tất Thành,NTT,2023,157-192,0.88
công nghệ thông tin,Đại học Nguyễn Tất Thành,NTT,2024,150-183,0.88
công nghệ thông tin,Đại học Nguyễn Tất Thành,NTT,2025,158-193,0.89
trí tuệ nhân tạo,Đại học Bách Khoa TP.HCM,BKA,2020,74-91,0.88
trí tuệ nhân tạo,Đại học Bách Khoa TP.HCM,BKA,2021,89-108,0.89
trí tuệ nhân tạo,Đại học Bách Khoa TP.HCM,BKA,2022,90-110,0.9
trí tuệ nhân tạo,Đại học Bách Khoa TP.HCM,BKA,2023,79-96,0.91
trí tuệ nhân tạo,Đại học Bách Khoa TP.HCM,BKA,2024,93-114,0.92
trí tuệ nhân tạo,Đại học Bách Khoa TP.HCM,BKA,2025,90-110,0.92
trí tuệ nhân tạo,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2020,149-182,0.88
trí tuệ nhân tạo,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2021,153-188,0.89
trí tuệ nhân tạo,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2022,146-179,0.9
trí tuệ nhân tạo,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2023,155-190,0.91
trí tuệ nhân tạo,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2024,155-190,0.92
trí tuệ nhân tạo,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2025,162-198,0.92
trí tuệ nhân tạo,Đại học Hutech,HTU,2020,176-215,0.88
trí tuệ nhân tạo,Đại học Hutech,HTU,2021,191-234,0.89
trí tuệ nhân tạo,Đại học Hutech,HTU,2022,202-247,0.9
trí tuệ nhân tạo,Đại học Hutech,HTU,2023,200-245,0.91
trí tuệ nhân tạo,Đại học Hutech,HTU,2024,193-236,0.92
trí tuệ nhân tạo,Đại học Hutech,HTU,2025,203-248,0.92
trí tuệ nhân tạo,Đại học Văn Lang,VLU,2020,189-231,0.88
trí tuệ nhân tạo,Đại học Văn Lang,VLU,2021,163-200,0.89
trí tuệ nhân tạo,Đại học Văn Lang,VLU,2022,164-201,0.9
trí tuệ nhân tạo,Đại học Văn Lang,VLU,2023,177-216,0.91
trí tuệ nhân tạo,Đại học Văn Lang,VLU,2024,170-207,0.92
trí tuệ nhân tạo,Đại học Văn Lang,VLU,2025,205-250,0.92
mạng máy tính & truyền thông dữ liệu,Đại học Bách Khoa TP.HCM,BKA,2020,96-117,0.65
mạng máy tính & truyền thông dữ liệu,Đại học Bách Khoa TP.HCM,BKA,2021,84-103,0.66
mạng máy tính & truyền thông dữ liệu,Đại học Bách Khoa TP.HCM,BKA,2022,90-111,0.66
mạng máy tính & truyền thông dữ liệu,Đại học Bách Khoa TP.HCM,BKA,2023,92-113,0.67
mạng máy tính & truyền thông dữ liệu,Đại học Bách Khoa TP.HCM,BKA,2024,89-108,0.68
mạng máy tính & truyền thông dữ liệu,Đại học Bách Khoa TP.HCM,BKA,2025,102-125,0.68
mạng máy tính & truyền thông dữ liệu,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2020,110-135,0.65
mạng máy tính & truyền thông dữ liệu,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2021,115-140,0.66
mạng máy tính & truyền thông dữ liệu,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2022,111-136,0.66
mạng máy tính & truyền thông dữ liệu,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2023,117-143,0.67
mạng máy tính & truyền thông dữ liệu,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2024,125-152,0.68
mạng máy tính & truyền thông dữ liệu,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2025,124-151,0.68
mạng máy tính & truyền thông dữ liệu,Đại học Hutech,HTU,2020,100-123,0.65
mạng máy tính & truyền thông dữ liệu,Đại học Hutech,HTU,2021,97-118,0.66
mạng máy tính & truyền thông dữ liệu,Đại học Hutech,HTU,2022,108-133,0.66
mạng máy tính & truyền thông dữ liệu,Đại học Hutech,HTU,2023,118-145,0.67
mạng máy tính & truyền thông dữ liệu,Đại học Hutech,HTU,2024,120-147,0.68
mạng máy tính & truyền thông dữ liệu,Đại học Hutech,HTU,2025,124-151,0.68
mạng máy tính & truyền thông dữ liệu,Đại học Nguyễn Tất Thành,NTT,2020,90-111,0.65
mạng máy tính & truyền thông dữ liệu,Đại học Nguyễn Tất Thành,NTT,2021,99-121,0.66
mạng máy tính & truyền thông dữ liệu,Đại học Nguyễn Tất Thành,NTT,2022,86-105,0.66
mạng máy tính & truyền thông dữ liệu,Đại học Nguyễn Tất Thành,NTT,2023,106-129,0.67
mạng máy tính & truyền thông dữ liệu,Đại học Nguyễn Tất Thành,NTT,2024,95-116,0.68
mạng máy tính & truyền thông dữ liệu,Đại học Nguyễn Tất Thành,NTT,2025,93-114,0.68
robot và trí tuệ nhân tạo,Đại học Bách Khoa TP.HCM,BKA,2020,70-85,0.88
robot và trí tuệ nhân tạo,Đại học Bách Khoa TP.HCM,BKA,2021,72-88,0.89
robot và trí tuệ nhân tạo,Đại học Bách Khoa TP.HCM,BKA,2022,69-84,0.9
robot và trí tuệ nhân tạo,Đại học Bách Khoa TP.HCM,BKA,2023,77-94,0.91
robot và trí tuệ nhân tạo,Đại học Bách Khoa TP.HCM,BKA,2024,76-93,0.92
robot và trí tuệ nhân tạo,Đại học Bách Khoa TP.HCM,BKA,2025,71-86,0.92
robot và trí tuệ nhân tạo,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2020,124-151,0.88
robot và trí tuệ nhân tạo,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2021,119-146,0.89
robot và trí tuệ nhân tạo,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2022,128-157,0.9
robot và trí tuệ nhân tạo,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2023,139-170,0.91
robot và trí tuệ nhân tạo,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2024,150-183,0.92
robot và trí tuệ nhân tạo,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2025,130-159,0.92
robot và trí tuệ nhân tạo,Đại học Hutech,HTU,2020,144-177,0.88
robot và trí tuệ nhân tạo,Đại học Hutech,HTU,2021,168-205,0.89
robot và trí tuệ nhân tạo,Đại học Hutech,HTU,2022,166-203,0.9
robot và trí tuệ nhân tạo,Đại học Hutech,HTU,2023,155-190,0.91
robot và trí tuệ nhân tạo,Đại học Hutech,HTU,2024,162-198,0.92
robot và trí tuệ nhân tạo,Đại học Hutech,HTU,2025,184-225,0.92
robot và trí tuệ nhân tạo,Đại học Văn Lang,VLU,2020,144-177,0.88
robot và trí tuệ nhân tạo,Đại học Văn Lang,VLU,2021,133-162,0.89
robot và trí tuệ nhân tạo,Đại học Văn Lang,VLU,2022,145-178,0.9
robot và trí tuệ nhân tạo,Đại học Văn Lang,VLU,2023,149-182,0.91
robot và trí tuệ nhân tạo,Đại học Văn Lang,VLU,2024,148-181,0.92
robot và trí tuệ nhân tạo,Đại học Văn Lang,VLU,2025,160-195,0.92
kỹ thuật phần mềm,Đại học Bách Khoa TP.HCM,BKA,2020,71-86,0.82
kỹ thuật phần mềm,Đại học Bách Khoa TP.HCM,BKA,2021,77-94,0.83
kỹ thuật phần mềm,Đại học Bách Khoa TP.HCM,BKA,2022,72-88,0.84
kỹ thuật phần mềm,Đại học Bách Khoa TP.HCM,BKA,2023,78-95,0.84
kỹ thuật phần mềm,Đại học Bách Khoa TP.HCM,BKA,2024,81-99,0.85
kỹ thuật phần mềm,Đại học Bách Khoa TP.HCM,BKA,2025,72-88,0.86
kỹ thuật phần mềm,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2020,91-112,0.82
kỹ thuật phần mềm,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2021,91-112,0.83
kỹ thuật phần mềm,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2022,94-115,0.84
kỹ thuật phần mềm,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2023,81-100,0.84
kỹ thuật phần mềm,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2024,88-107,0.85
kỹ thuật phần mềm,Đại học Công nghệ Thông tin - ĐHQG TP.HCM,QSC,2025,94-115,0.86
kỹ thuật phần mềm,Đại học Hutech,HTU,2020,126-154,0.82
kỹ thuật phần mềm,Đại học Hutech,HTU,2021,131-160,0.83
kỹ thuật phần mềm,Đại học Hutech,HTU,2022,152-185,0.84
kỹ thuật phần mềm,Đại học Hutech,HTU,2023,137-168,0.84
kỹ thuật phần mềm,Đại học Hutech,HTU,2024,152-185,0.85
kỹ thuật phần mềm,Đại học Hutech,HTU,2025,132-161,0.86
kỹ thuật phần mềm,Đại học Nguyễn Tất Thành,NTT,2020,136-167,0.82
kỹ thuật phần mềm,Đại học Nguyễn Tất Thành,NTT,2021,139-170,0.83
kỹ thuật phần mềm,Đại học Nguyễn Tất Thành,NTT,2022,135-165,0.84
kỹ thuật phần mềm,Đại học Nguyễn Tất Thành,NTT,2023,139-170,0.84
kỹ thuật phần mềm,Đại học Nguyễn Tất Thành,NTT,2024,128-157,0.85
kỹ thuật phần mềm,Đại học Nguyễn Tất Thành,NTT,2025,134-163,0.86
quản trị khách sạn,Đại học Kinh tế TP.HCM,UEH,2020,70-85,0.65
quản trị khách sạn,Đại học Kinh tế TP.HCM,UEH,2021,68-83,0.66
quản trị khách sạn,Đại học Kinh tế TP.HCM,UEH,2022,80-97,0.66
quản trị khách sạn,Đại học Kinh tế TP.HCM,UEH,2023,76-93,0.67
quản trị khách sạn,Đại học Kinh tế TP.HCM,UEH,2024,82-101,0.68
quản trị khách sạn,Đại học Kinh tế TP.HCM,UEH,2025,81-99,0.68
quản trị khách sạn,Đại học Văn Lang,VLU,2020,91-112,0.65
quản trị khách sạn,Đại học Văn Lang,VLU,2021,90-110,0.66
quản trị khách sạn,Đại học Văn Lang,VLU,2022,88-107,0.66
quản trị khách sạn,Đại học Văn Lang,VLU,2023,88-107,0.67
quản trị khách sạn,Đại học Văn Lang,VLU,2024,91-112,0.68
quản trị khách sạn,Đại học Văn Lang,VLU,2025,86-105,0.68
quản trị khách sạn,Đại học Hoa Sen,HSU,2020,103-126,0.65
quản trị khách sạn,Đại học Hoa Sen,HSU,2021,112-137,0.66
quản trị khách sạn,Đại học Hoa Sen,HSU,2022,106-129,0.66
quản trị khách sạn,Đại học Hoa Sen,HSU,2023,102-125,0.67
quản trị khách sạn,Đại học Hoa Sen,HSU,2024,117-143,0.68
quản trị khách sạn,Đại học Hoa Sen,HSU,2025,114-139,0.68
quản trị khách sạn,Đại học Hutech,HTU,2020,158-193,0.65
quản trị khách sạn,Đại học Hutech,HTU,2021,141-172,0.66
quản trị khách sạn,Đại học Hutech,HTU,2022,152-185,0.66
quản trị khách sạn,Đại học Hutech,HTU,2023,166-203,0.67
quản trị khách sạn,Đại học Hutech,HTU,2024,167-204,0.68
quản trị khách sạn,Đại học Hutech,HTU,2025,179-218,0.68
quản trị khách sạn,Đại học Nguyễn Tất Thành,NTT,2020,99-121,0.65
quản trị khách sạn,Đại học Nguyễn Tất Thành,NTT,2021,102-125,0.66
quản trị khách sạn,Đại học Nguyễn Tất Thành,NTT,2022,112-137,0.66
quản trị khách sạn,Đại học Nguyễn Tất Thành,NTT,2023,99-122,0.67
quản trị khách sạn,Đại học Nguyễn Tất Thành,NTT,2024,111-136,0.68
quản trị khách sạn,Đại học Nguyễn Tất Thành,NTT,2025,102-125,0.68
quản trị dịch vụ du lịch và lữ hành,Đại học Kinh tế TP.HCM,UEH,2020,73-90,0.65
quản trị dịch vụ du lịch và lữ hành,Đại học Kinh tế TP.HCM,UEH,2021,63-77,0.66
quản trị dịch vụ du lịch và lữ hành,Đại học Kinh tế TP.HCM,UEH,2022,70-85,0.66
quản trị dịch vụ du lịch và lữ hành,Đại học Kinh tế TP.HCM,UEH,2023,64-79,0.67
quản trị dịch vụ du lịch và lữ hành,Đại học Kinh tế TP.HCM,UEH,2024,69-84,0.68
quản trị dịch vụ du lịch và lữ hành,Đại học Kinh tế TP.HCM,UEH,2025,69-84,0.68
quản trị dịch vụ du lịch và lữ hành,Đại học Văn Lang,VLU,2020,87-106,0.65
quản trị dịch vụ du lịch và lữ hành,Đại học Văn Lang,VLU,2021,92-113,0.66
quản trị dịch vụ du lịch và lữ hành,Đại học Văn Lang,VLU,2022,99-122,0.66
quản trị dịch vụ du lịch và lữ hành,Đại học Văn Lang,VLU,2023,104-127,0.67
quản trị dịch vụ du lịch và lữ hành,Đại học Văn Lang,VLU,2024,94-115,0.68
quản trị dịch vụ du lịch và lữ hành,Đại học Văn Lang,VLU,2025,105-128,0.68
quản trị dịch vụ du lịch và lữ hành,Đại học Hoa Sen,HSU,2020,127-156,0.65
quản trị dịch vụ du lịch và lữ hành,Đại học Hoa Sen,HSU,2021,125-152,0.66
quản trị dịch vụ du lịch và lữ hành,Đại học Hoa Sen,HSU,2022,129-158,0.66
quản trị dịch vụ du lịch và lữ hành,Đại học Hoa Sen,HSU,2023,121-148,0.67
quản trị dịch vụ du lịch và lữ hành,Đại học Hoa Sen,HSU,2024,125-152,0.68
quản trị dịch vụ du lịch và lữ hành,Đại học Hoa Sen,HSU,2025,129-158,0.68
quản trị dịch vụ du lịch và lữ hành,Đại học Hutech,HTU,2020,164-201,0.65
quản trị dịch vụ du lịch và lữ hành,Đại học Hutech,HTU,2021,174-213,0.66
quản trị dịch vụ du lịch và lữ hành,Đại học Hutech,HTU,2022,164-201,0.66
quản trị dịch vụ du lịch và lữ hành,Đại học Hutech,HTU,2023,163-200,0.67
quản trị dịch vụ du lịch và lữ hành,Đại học Hutech,HTU,2024,181-222,0.68
quản trị dịch vụ du lịch và lữ hành,Đại học Hutech,HTU,2025,194-237,0.68
quản trị dịch vụ du lịch và lữ hành,Đại học Nguyễn Tất Thành,NTT,2020,108-133,0.65
quản trị dịch vụ du lịch và lữ hành,Đại học Nguyễn Tất Thành,NTT,2021,112-137,0.66
quản trị dịch vụ du lịch và lữ hành,Đại học Nguyễn Tất Thành,NTT,2022,110-135,0.66
quản trị dịch vụ du lịch và lữ hành,Đại học Nguyễn Tất Thành,NTT,2023,124-151,0.67
quản trị dịch vụ du lịch và lữ hành,Đại học Nguyễn Tất Thành,NTT,2024,128-157,0.68
quản trị dịch vụ du lịch và lữ hành,Đại học Nguyễn Tất Thành,NTT,2025,125-152,0.68
vật lý học,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2020,92-113,0.65
vật lý học,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2021,89-108,0.66
vật lý học,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2022,102-125,0.66
vật lý học,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2023,102-125,0.67
vật lý học,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2024,107-130,0.68
vật lý học,Đại học Khoa học Tự nhiên - ĐHQG TP.HCM,QST,2025,108-133,0.68
vật lý học,Đại học Sư phạm TP.HCM,SPS,2020,112-137,0.65
vật lý học,Đại học Sư phạm TP.HCM,SPS,2021,114-139,0.66
vật lý học,Đại học Sư phạm TP.HCM,SPS,2022,117-144,0.66
vật lý học,Đại học Sư phạm TP.HCM,SPS,2023,115-140,0.67
vật lý học,Đại học Sư phạm TP.HCM,SPS,2024,109-134,0.68
vật lý học,Đại học Sư phạm TP.HCM,SPS,2025,116-141,0.68
vật lý học,Đại học Công nghiệp TP.HCM,IUH,2020,124-151,0.65
vật lý học,Đại học Công nghiệp TP.HCM,IUH,2021,140-171,0.66
vật lý học,Đại học Công nghiệp TP.HCM,IUH,2022,138-169,0.66
vật lý học,Đại học Công nghiệp TP.HCM,IUH,2023,135-165,0.67
vật lý học,Đại học Công nghiệp TP.HCM,IUH,2024,145-178,0.68
vật lý học,Đại học Công nghiệp TP.HCM,IUH,2025,135-165,0.68
vật lý học,Đại học Hutech,HTU,2020,130-159,0.65
vật lý học,Đại học Hutech,HTU,2021,152-185,0.66
vật lý học,Đại học Hutech,HTU,2022,150-183,0.66
vật lý học,Đại học Hutech,HTU,2023,167-204,0.67
vật lý học,Đại học Hutech,HTU,2024,148-181,0.68
vật lý học,Đại học Hutech,HTU,2025,167-204,0.68
vật lý học,Đại học Nguyễn Tất Thành,NTT,2020,128-157,0.65
vật lý học,Đại học Nguyễn Tất Thành,NTT,2021,147-180,0.66
vật lý học,Đại học Nguyễn Tất Thành,NTT,2022,153-187,0.66
vật lý học,Đại học Nguyễn Tất Thành,NTT,2023,131-160,0.67
vật lý học,Đại học Nguyễn Tất Thành,NTT,2024,139-170,0.68
vật lý học,Đại học Nguyễn Tất Thành,NTT,2025,140-171,0.68
kinh tế học,Đại học Kinh tế TP.HCM,UEH,2020,72-89,0.75
kinh tế học,Đại học Kinh tế TP.HCM,UEH,2021,84-103,0.76
kinh tế học,Đại học Kinh tế TP.HCM,UEH,2022,79-96,0.77
kinh tế học,Đại học Kinh tế TP.HCM,UEH,2023,87-106,0.77
kinh tế học,Đại học Kinh tế TP.HCM,UEH,2024,94-115,0.78
kinh tế học,Đại học Kinh tế TP.HCM,UEH,2025,87-106,0.79
kinh tế học,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2020,127-156,0.75
kinh tế học,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2021,119-146,0.76
kinh tế học,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2022,124-151,0.77
kinh tế học,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2023,136-167,0.77
kinh tế học,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2024,141-172,0.78
kinh tế học,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2025,135-166,0.79
kinh tế học,Đại học Mở TP.HCM,OUM,2020,168-205,0.75
kinh tế học,Đại học Mở TP.HCM,OUM,2021,193-236,0.76
kinh tế học,Đại học Mở TP.HCM,OUM,2022,174-213,0.77
kinh tế học,Đại học Mở TP.HCM,OUM,2023,199-244,0.77
kinh tế học,Đại học Mở TP.HCM,OUM,2024,192-235,0.78
kinh tế học,Đại học Mở TP.HCM,OUM,2025,192-235,0.79
kinh tế học,Đại học Nguyễn Tất Thành,NTT,2020,113-138,0.75
kinh tế học,Đại học Nguyễn Tất Thành,NTT,2021,111-136,0.76
kinh tế học,Đại học Nguyễn Tất Thành,NTT,2022,120-147,0.77
kinh tế học,Đại học Nguyễn Tất Thành,NTT,2023,127-156,0.77
kinh tế học,Đại học Nguyễn Tất Thành,NTT,2024,120-147,0.78
kinh tế học,Đại học Nguyễn Tất Thành,NTT,2025,122-149,0.79
quản trị kinh doanh,Đại học Kinh tế TP.HCM,UEH,2020,77-94,0.77
quản trị kinh doanh,Đại học Kinh tế TP.HCM,UEH,2021,73-90,0.78
quản trị kinh doanh,Đại học Kinh tế TP.HCM,UEH,2022,78-95,0.79
quản trị kinh doanh,Đại học Kinh tế TP.HCM,UEH,2023,80-97,0.79
quản trị kinh doanh,Đại học Kinh tế TP.HCM,UEH,2024,75-92,0.8
quản trị kinh doanh,Đại học Kinh tế TP.HCM,UEH,2025,81-99,0.81
quản trị kinh doanh,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2020,113-138,0.77
quản trị kinh doanh,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2021,126-155,0.78
quản trị kinh doanh,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2022,134-163,0.79
quản trị kinh doanh,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2023,128-157,0.79
quản trị kinh doanh,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2024,137-168,0.8
quản trị kinh doanh,Đại học Kinh tế - Luật - ĐHQG TP.HCM,QSK,2025,124-151,0.81
quản trị kinh doanh,Đại học Mở TP.HCM,OUM,2020,94-115,0.77
quản trị kinh doanh,Đại học Mở TP.HCM,OUM,2021,111-136,0.78
quản trị kinh doanh,Đại học Mở TP.HCM,OUM,2022,97-118,0.79
quản trị kinh doanh,Đại học Mở TP.HCM,OUM,2023,98-119,0.79
quản trị kinh doanh,Đại học Mở TP.HCM,OUM,2024,99-122,0.8
quản trị kinh doanh,Đại học Mở TP.HCM,OUM,2025,115-140,0.81
quản trị kinh doanh,Đại học Nguyễn Tất Thành,NTT,2020,87-106,0.77
quản trị kinh doanh,Đại học Nguyễn Tất Thành,NTT,2021,95-116,0.78
quản trị kinh doanh,Đại học Nguyễn Tất Thành,NTT,2022,97-118,0.79
quản trị kinh doanh,Đại học Nguyễn Tất Thành,NTT,2023,104-127,0.79
quản trị kinh doanh,Đại học Nguyễn Tất Thành,NTT,2024,96-117,0.8
quản trị kinh doanh,Đại học Nguyễn Tất Thành,NTT,2025,91-112,0.81
kiểm toán,Đại học Kinh tế TP.HCM,UEH,2020,65-80,0.67
kiểm toán,Đại học Kinh tế TP.HCM,UEH,2021,63-78,0.68
kiểm toán,Đại học Kinh tế TP.HCM,UEH,2022,70-85,0.68
kiểm toán,Đại học Kinh tế TP.HCM,UEH,2023,76-93,0.69
kiểm toán,Đại học Kinh tế TP.HCM,UEH,2024,76-93,0.7
kiểm toán,Đại học Kinh tế TP.HCM,UEH,2025,80-97,0.7
kiểm toán,Đại học Tài chính - Marketing,UFM,2020,146-179,0.67
kiểm toán,Đại học Tài chính - Marketing,UFM,2021,144-177,0.68
kiểm toán,Đại học Tài chính - Marketing,UFM,2022,154-189,0.68
kiểm toán,Đại học Tài chính - Marketing,UFM,2023,150-183,0.69
kiểm toán,Đại học Tài chính - Marketing,UFM,2024,133-162,0.7
kiểm toán,Đại học Tài chính - Marketing,UFM,2025,138-169,0.7
kiểm toán,Đại học Mở TP.HCM,OUM,2020,117-144,0.67
kiểm toán,Đại học Mở TP.HCM,OUM,2021,114-139,0.68
kiểm toán,Đại học Mở TP.HCM,OUM,2022,120-147,0.68
kiểm toán,Đại học Mở TP.HCM,OUM,2023,129-158,0.69
kiểm toán,Đại học Mở TP.HCM,OUM,2024,118-145,0.7
kiểm toán,Đại học Mở TP.HCM,OUM,2025,126-154,0.7
kiểm toán,Đại học Nguyễn Tất Thành,NTT,2020,152-185,0.67
kiểm toán,Đại học Nguyễn Tất Thành,NTT,2021,161-196,0.68
kiểm toán,Đại học Nguyễn Tất Thành,NTT,2022,151-184,0.68
kiểm toán,Đại học Nguyễn Tất Thành,NTT,2023,175-214,0.69
kiểm toán,Đại học Nguyễn Tất Thành,NTT,2024,189-231,0.7
kiểm toán,Đại học Nguyễn Tất Thành,NTT,2025,179-218,0.7
kế toán,Đại học Kinh tế TP.HCM,UEH,2020,80-97,0.65
kế toán,Đại học Kinh tế TP.HCM,UEH,2021,83-102,0.66
kế toán,Đại học Kinh tế TP.HCM,UEH,2022,89-108,0.66
kế toán,Đại học Kinh tế TP.HCM,UEH,2023,97-118,0.67
kế toán,Đại học Kinh tế TP.HCM,UEH,2024,100-123,0.68
kế toán,Đại học Kinh tế TP.HCM,UEH,2025,92-113,0.68
kế toán,Đại học Tài chính - Marketing,UFM,2020,96-117,0.65
kế toán,Đại học Tài chính - Marketing,UFM,2021,104-127,0.66
kế toán,Đại học Tài chính - Marketing,UFM,2022,107-130,0.66
kế toán,Đại học Tài chính - Marketing,UFM,2023,103-126,0.67
kế toán,Đại học Tài chính - Marketing,UFM,2024,107-130,0.68
kế toán,Đại học Tài chính - Marketing,UFM,2025,114-139,0.68
kế toán,Đại học Mở TP.HCM,OUM,2020,133-162,0.65
kế toán,Đại học Mở TP.HCM,OUM,2021,140-171,0.66
kế toán,Đại học Mở TP.HCM,OUM,2022,135-165,0.66
kế toán,Đại học Mở TP.HCM,OUM,2023,153-188,0.67
kế toán,Đại học Mở TP.HCM,OUM,2024,145-178,0.68
kế toán,Đại học Mở TP.HCM,OUM,2025,156-191,0.68
kế toán,Đại học Nguyễn Tất Thành,NTT,2020,110-135,0.65
kế toán,Đại học Nguyễn Tất Thành,NTT,2021,126-155,0.66
